partner,geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AME_C_S_OTH,LT,: ,: ,1475,: ,: u,: u,: u,: u,: u,: u,: u,: 
AME_C_S_OTH,LU,: ,: ,: ,12000,8786,9563,12284,12003,11634,10048 u,11531 u,12345 u
AME_C_S_OTH,LV,: ,: ,: ,3337,3143,1721,: ,619,1191,: u,: ,: u
AME_C_S_OTH,MT,: ,: ,: ,: ,: ,: ,0,0,93,: u,: u,: 
AME_C_S_OTH,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,305402 b,238800,: 
AME_C_S_OTH,NO,: ,: ,: ,67551,63927,72961,64036,66416,69730,: ,: ,: 
AME_C_S_OTH,PL,: ,: ,: ,28000,: ,: ,: ,12000,11000 e,: u,: u,: 
AME_C_S_OTH,PT,: ,: ,: ,: ,32417,: ,46495,25411,26413,43353 u,: u,: 
AME_C_S_OTH,RO,: ,: ,: ,: ,: ,: ,: ,4814,: ,: ,: u,: 
AME_C_S_OTH,SE,: ,: ,: ,108000,85000,117000,85000,82000,109000,: ,: ,: 
AME_C_S_OTH,SI,: ,: ,: ,: u,: u,: ,: u,: u,: u,: u,: u,: 
AME_C_S_OTH,SK,: ,: ,: ,: ,31436,: ,: ,8564,33358,: u,: ,: 
AME_C_S_OTH,UK,: ,1124545,1203839,1299102,1401430,1356852,1141202,1108670,1250478,1144942,1215864,: 
AME_N,AT,: ,141673,194331,148268,145408,203058,224300,: u,146181,190405,196681,: 
AME_N,BE,89836,175028,174536,87989,132131,134925,156805,166986,165788,208038,193278,: 
AME_N,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME_N,CH,: ,: ,: ,: ,: ,: u,: u,: u,: u,424574,406702,: 
AME_N,CY,9398,8170,11572,9680,10968,14110,10720,12733,12724,14513 bu,15986 u,: 
AME_N,CZ,104003,: u,: u,: u,98914,: u,: u,: u,: u,: u,: u,: 
AME_N,DE,: u,: u,: u,: u,2226976,2883442,2612703,2439179,3013801,3012060,3192334,: 
AME_N,DK,184400,138063,162530,202546,226020,255959,212337,237428,328744,354583,281668 b,: 
AME_N,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,6957297 e,7166124 e,: 
AME_N,EE,: ,: ,: ,: ,: u,: ,: u,: u,: u,: u,: u,: 
AME_N,EL,15621,28727,43691,65342,27381,28795,73731,48094,39211,: u,24734 u,: 
AME_N,ES,102609,121643,183611,: u,: u,327937,: u,: u,: u,364044,322984,336022
AME_N,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,11089260 e,11219676 e,: 
AME_N,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,11109994 e,11240386 e,: 
AME_N,FI,58000,100000,100000,99000,109000,109000,118000,84000,104000,157991 bu,141185 u,247259
AME_N,FR,722000,1090000,1276181,1243262,1347154,1090705,1000399,1233203,1364286,1258905,1447167,: 
AME_N,HR,: ,: ,: ,: ,23483,20878,34723,26636,35235,: u,: u,: 
AME_N,HU,: ,: ,85268,77404,126237,102876,128492,105122,98471,80101,101653,109851
AME_N,IE,331000,384000,462000,499000,609000,620000,478000,379000,347000,346416,378703,407772
AME_N,IT,462039,311265,542348,509363,442540,576592,771776,586600,529329,693595,592659 u,382680 bu
AME_N,LT,: ,4116,7890,12073,10624,6945,: u,18139,20825,25562,25191,: 
AME_N,LU,13000,15000,20000,20000,17421,23065,32561,25250,33226,33801,39624,35873
AME_N,LV,10866,14199,22237,30068,24372,50640,37979,37586,33281,: u,: u,: u
AME_N,MT,: ,: ,: ,: ,2717 e,: ,3857,4154,4283,4804,3595,: 
AME_N,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,602487 b,521123,: 
AME_N,NO,: ,154987,163227,193188,186193,264495,202994,253731,238148,: ,: ,: 
AME_N,PL,110000,121000 e,132000,: ,: ,: ,: ,40000,39400 e,: u,: u,: 
AME_N,PT,27660,52556,: ,: ,42584,: u,33813,63943,72115,24112 u,36485,: 
AME_N,RO,: ,: ,13568,23133,23980,: ,: ,: ,9179,: u,: u,: 
AME_N,SE,: ,: ,: ,281000,296000,506000,456000,450000,570000,: ,: ,: 
AME_N,SI,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
AME_N,SK,21287,27144,: ,: ,39344,30850,: ,13368,25075,: u,: u,: 
AME_N,UK,3213908,3406654,3588538,4333582,4285359,4327989,3421981,3258521,3399498,3320761,3280494,: 
AME_N_OTH,AT,: ,: ,58208,19089,17879,23200,22750,: u,6697,: u,: ,: 
AME_N_OTH,BE,: ,: ,29126,13044,: ,34736,30805,13583,: u,: ,: ,: 
AME_N_OTH,CH,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: ,: 
AME_N_OTH,CY,1233,954,1542,1394,1465,1947,1594,1648,1048,: ,: ,: 
AME_N_OTH,CZ,: ,: ,: u,: ,: u,: ,: u,: ,: ,: ,: ,: 
AME_N_OTH,DE,: ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
AME_N_OTH,DK,32200,4968,: ,20767,23918,13080,38189,39893,12537,: u,: u,: 
AME_N_OTH,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,74573 eu,: u,: 
AME_N_OTH,EL,: ,: ,: ,: ,: ,7287,: ,8010,3608,: ,: ,: 
AME_N_OTH,ES,: ,: ,16104,: u,: u,: u,: u,: u,: u,: u,: ,: 
AME_N_OTH,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,107666 u,94636 u,: 
AME_N_OTH,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,107649 u,94623 u,: 
AME_N_OTH,FI,: ,: ,9000,12000,19000,13000,10000,6000,6000,: u,: ,: 
AME_N_OTH,FR,: ,: ,317819,341202,367561,283423,290087,307605,326068,: ,: u,: 
AME_N_OTH,HR,: ,: ,: ,: ,: ,: ,16181,14992,13427,: ,: ,: 
AME_N_OTH,HU,: ,: ,14396,13205,30995,23908,: u,: u,13763,: ,: ,: u
AME_N_OTH,IE,: ,: ,46000,37000,54000,50000,36000,: u,: u,: u,: u,: u
